Nome|Difficolta|Costo|Diete|Ingredienti

Calamari ripieni di bieta, uvetta e mandorle|Media||Senza lattosio; |Calamari; Bietole; Salsa di soia; Uva passa; Mandorle in scaglie; Olio extravergine d'oliva; Pepe nero; Acqua; 

Frittata al verde con salmone, toma e salsa allo zafferano|Facile|||Uova; Salmone affumicato; Toma piemontese; Spinaci; Timo; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Zafferano; Pepe rosa in grani; Cipolle bianche; Toma piemontese; Brodo vegetale; 

Seitan burger|Media|Medio|Vegetariano; |Panini da hamburger; Seitan; Ceci precotti; Patate dolci (o americane); Cipolle rosse; Pomodori ramati; Sale fino; Pepe nero; Coriandolo; Olio di semi; Latte di soia; Aceto di riso; Sale fino; Tabascoa; Concentrato di pomodoro; Lattuga iceberg; 

Tempura di verdure autunnali e carne|Facile|||Zucchine; Carote; Carciofi; Funghi porcini; Farina 00; Sale fino; Olio di semi di girasole; Acqua gassata; Farina 00; Tuorli; Carne bovina; Pepe verde in grani; Rosmarino; Sale grosso; 

Torta di patate con cuore al raga di cotechino|Facile|||Patate; Grana Padano DOP; Pecorino; Uova; Prezzemolo; Pangrattato; Pepe nero; Cotechino Modena precotto; Sedano; Carote; Cipolle bianche; Concentrato di pomodoro; Vino rosso; Salvia; Sale fino; Pepe nero; 

Filoscio ricco|Facile|Basso||Uova; Mozzarella; Prosciutto cotto; Olio di semi di girasole; Sale fino; Pepe nero; 

Insalata di manzo speziato e Grana Padano|Facile||Senza glutine; Senza lattosio; |Filetto di manzo; Cetrioli; Pomodorini datterini; Grana Padano DOP; Menta; Olio extravergine d'oliva; Sale fino; Pepe nero; Olio extravergine d'oliva; Menta; Timo; Pepe rosa; Pepe nero; 

Verzini alla birra|Facile|Medio|Senza lattosio; |Verzini; Birra rossa; Acqua; Patate; Rosmarino; Olio extravergine d'oliva; Sale fino; Topinambur; 

Stracotto al Porto con mele al rosmarino|Media|||Vitello; Porto; Carote; Cipolle bianche; Bacche di ginepro; Alloro; Sedano; Acqua; Burro; Farina 00; Amido di mais (maizena); Sale fino; Pepe nero; Mele Fuji; Curcuma in polvere; Aceto di mele; Sale fino; Pepe nero; Olio extravergine d'oliva; Rosmarino; 

Scaloppine di vitello alla melagrana|Facile|Basso|Senza lattosio; |Fettine di vitello; Vino bianco; Melagrana; Amido di mais (maizena); Rosmarino; Olio extravergine d'oliva; Sale fino; 

Pollo con senape e finocchi|Media||Senza lattosio; |Pollo; Senape; Aceto di mele; Salsa Worcestershire; Pepe nero; Sale fino; Finocchi; Olio extravergine d'oliva; Sale fino; Pepe nero; Rosmarino; 

Filetto di maiale alle amarene con crema di patate|Media|Medio||Filetto di maiale; Vino bianco; Amarene con sciroppo; Acqua; Salvia; Rosmarino; Timo; Aglio; Olio extravergine d'oliva; Sale; Patate; Latte intero; Sale fino; Pepe nero; 

Shish kebab di salmone con salsa yogurt|Facile|Medio|Senza glutine; |Tranci di salmone; Melanzane; Peperoni gialli; Pomodorini ciliegino; Zucchine; Succo di limone; Olio extravergine d'oliva; Origano; Maggiorana; Capperi sott'aceto; Sale fino; Pepe nero; Yogurt greco; Sale fino; Timo; 

Mini pie di manzo patate e carciofi|Media|Medio|Senza lattosio; |Dischetti di pasta; Manzo; Vino rosso; Patate; Carciofi; Sale fino; Pepe nero; Uova; Limoni; 

Calamari ripieni allaamalfitana|Facile|Medio|Senza glutine; Senza lattosio; |Calamari; Zucchine; Patate; Olive nere; Capperi sotto sale; Aglio; Vino bianco; Parmigiano Reggiano DOP; Scorza di limone; Pomodorini ciliegino; Prezzemolo; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Orata affumicata su misticanza, crostini e vinaigrette al miele|Facile||Senza lattosio; |Orata; Rucola; Insalata misticanza; Pane; Olio extravergine d'oliva; Olio extravergine d'oliva; Aceto di mele; Miele di acacia; Sale fino; Pepe nero; Pomodorini; Olive nere; 

Spiedini marinati all'ananas|Molto facile|Basso||Lonza di maiale; Ananas; Zucchine; Peperoni rossi; Peperoni gialli; Pomodorini ciliegino; Zenzero fresco; Burro; Aneto; Sale fino; Pepe nero; 

Anguilla in crosta di mandorle|Difficile|Elevato|Senza lattosio; |Anguilla; Mandorle; Miele di acacia; Rosmarino; Salvia; Aglio; Olio extravergine d'oliva; Sale fino; Vino rosso; Pepe nero; Farina di mais bianco; Sale fino; Olio extravergine d'oliva; Vino rosso; Cannella in stecche; Chiodi di garofano; Scorza d'arancia; Amido di mais (maizena); Succo d'arancia; Olio extravergine d'oliva; Sale fino; Pepe nero; Radicchio; 

Polpette di maiale in crema di zucca|Facile|Medio|Senza lattosio; |Uova; Carne di suino; Parmigiano Reggiano DOP; Pane; Zucca; Cipolle bianche; Sale fino; Timo; Olio extravergine d'oliva; Acqua; 

Braciole alle erbe con zucca e patate|Facile|Basso|Senza glutine; Senza lattosio; |Braciole di maiale; Zucca; Patate; Alloro; Rosmarino; Maggiorana; Origano; Salvia; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Animelle al Marsala|Facile|Basso||Animelle di vitello; Farina 00; Marsala; Brodo; Burro; Pane; 

Crostone bruscato con luganega e peperoni affumicati|Facile|Basso|Senza lattosio; |Luganega; Peperoni rossi; Peperoni gialli; Pane casereccio; Capperi; Aglio; Senape; Miele; Olio extravergine d'oliva; 

Pollo bardato con carciofi e patate dolci|Media|Medio||Pollo; Burro; Rosmarino; Salvia; Timo; Peperoncino fresco; Pancetta (tesa); Sale fino; Pepe nero; Carciofi; Patate dolci (o americane); Rosmarino; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Polpettine mostruose|Facile|Basso|Vegetariano; |Ricotta; Parmigiano Reggiano DOP; Pane; Latte; Uova; Pangrattato; Noce moscata; Sale; Brodo; Patate; Scalogno; Olio di oliva; Sale; Brodo; Passata di pomodoro; Olio di oliva; Sale; Basilico; Olive; Semi di sesamo; 

Involtini alla mostarda di Cremona|Facile|||Vitello; Chorizo; Pane; Grana Padano DOP; Tuorli; Pepe nero; Burro; Vino; Latte; Mostarda di Cremona; 

Ali di pollo glassate|Facile|Basso|Senza glutine; Senza lattosio; |Alette di pollo; Polpa di pomodoro; Olio extravergine d'oliva; Miele; Aceto di mele; Paprika; Peperoncino fresco; Aglio; Sale fino; 

Coniglio fritto agli aromi|Facile|Medio|Senza lattosio; |Coniglio; Uova; Limoni; Salvia; Rosmarino; Origano; Pangrattato; Farina 00; Sale fino; Pepe nero; Olio di semi di arachide; 

Spiedini di vitello con rucola e scamorza|Facile|Basso|Senza glutine; |Fettine di vitello; Scamorza (provola); Rucola; Olio extravergine d'oliva; Sale fino; 

Pollo con pomodori e avocado|Facile|Basso|Senza glutine; Senza lattosio; |Petto di pollo; Olio extravergine d'oliva; Sale fino; Pepe nero; Lime; Origano; Pomodori ramati; Avocado; Cipolle rosse; Sale fino; Paprika; Pepe nero; 

Polpo alla greca|Facile|Medio|Senza glutine; Senza lattosio; |Polpo; Passata di pomodoro; Vino rosso; Cipolle bianche; Aglio; Chiodi di garofano; Alloro; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Patate al forno|Facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Rosmarino; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Timo; Olio extravergine d'oliva; 

Carciofi al gratin|Molto facile|Basso|Vegetariano; |Carciofi; Olio extravergine d'oliva; Pecorino; Pangrattato; Prezzemolo; Sale fino; Pepe nero; 

Verdure al forno|Facile|Basso|Vegetariano; |Patate; Zucchine; Carote; Melanzane; Peperoni rossi; Cipolle rosse; Aglio; Olio extravergine d'oliva; Pecorino; Pangrattato; Prezzemolo; Sale; Pepe; 

Finocchi gratinati|Facile|Basso|Vegetariano; |Finocchi; Burro; Parmigiano Reggiano DOP; Latte intero; Burro; Farina 00; Sale fino; Noce moscata; 

Verdure gratinate al forno|Molto facile|Molto basso|Vegetariano; Senza lattosio; |Zucchine; Melanzane; Peperoni rossi; Olio extravergine d'oliva; Sale fino; Pangrattato; Parmigiano Reggiano DOP; Timo; Maggiorana; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Melanzane a funghetto|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Melanzane; Pomodori ramati; Basilico; Aglio; Sale fino; Olio extravergine d'oliva; Olio di semi di arachide; 

Cavolfiori gratinati|Facile|Basso|Vegetariano; |Cavolfiore; Parmigiano Reggiano DOP; Burro; Farina 00; Latte intero; Noce moscata; Sale fino; Pepe nero; 

Pura di patate|Facile|Basso|Senza glutine; Vegetariano; |Patate; Latte intero; Burro; Sale fino; Noce moscata; 

Ratatouille|Molto facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Melanzane; Zucchine; Peperoni verdi; Peperoni gialli; Pomodori perini; Cipolle bianche; Aglio; Olio extravergine d'oliva; Sale fino; Timo; Prezzemolo; Basilico; 

Carciofi alla romana|Facile|Medio|Senza glutine; Senza lattosio; Vegetariano; |Carciofi mammole; Mentuccia; Prezzemolo; Aglio; Vino bianco; Sale fino; Acqua; Olio extravergine d'oliva; Limoni; 

Peperonata|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Peperoni; Cipolle rosse di Tropea; Passata di pomodoro; Olio extravergine d'oliva; Aglio; Sale fino; Pepe nero; 

Carciofi in padella|Molto facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Carciofi; Olio extravergine d'oliva; Vino bianco; Aglio; Acqua; Sale fino; Pepe nero; Prezzemolo; Menta; 

Insalata di finocchi e arance|Molto facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Finocchi; Arance; Pinoli; Uvetta; Sale; Olio di oliva; Aceto; Semi di zucca; 

Patate duchessa|Facile|Basso|Senza glutine; Vegetariano; |Patate rosse; Burro; Grana Padano DOP; Tuorli; Sale fino; Pepe nero; 

Broccoli gratinati|Facile||Vegetariano; |Broccoli; Parmigiano Reggiano DOP; Pepe nero; Latte intero; Farina 00; Burro; Noce moscata; Sale fino; 

Zucchine trifolate|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Zucchine; Aglio; Prezzemolo; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Vignarola|Facile|Medio|Senza glutine; Senza lattosio; Vegetariano; |Fave; Pisellini; Lattuga; Carciofi mammole; Cipollotto fresco; Peperoncino fresco; Vino bianco secco; Olio extravergine d'oliva; Sale fino; 

Insalata di fave|Molto facile|Molto basso|Senza glutine; Vegetariano; |Fave; Pecorino; Aceto balsamico; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Caesar salad|Facile||Senza lattosio; |Lattuga romana; Pane casereccio; Parmigiano Reggiano DOP; Aglio; Worcestershire sauce; Uova; Sale fino; Olio extravergine d'oliva; Pepe nero; Olio extravergine d'oliva; Aceto di vino bianco; Succo di limone; 

Funghi trifolati|Facile|Elevato|Senza glutine; Vegetariano; |Funghi; Aglio; Prezzemolo; Burro; Olio extravergine d'oliva; 

Insalata di patate|Molto facile|Basso|Vegetariano; |Patate; Yogurt bianco naturale; Senape; Sale fino; Prezzemolo; Maionese; Erba cipollina; Pepe nero; 

Polpettone alla ligure|Facile|Molto basso|Vegetariano; |Patate; Fagiolini; Parmigiano Reggiano DOP; Uova; Maggiorana; Pepe nero; Sale fino; Pangrattato; Burro; Pangrattato; Parmigiano Reggiano DOP; 

Cipolle al forno|Facile|Basso|Senza lattosio; Vegetariano; |Cipolle bianche; Cipolle rosse; Sale fino; Prezzemolo; Pangrattato; Olio extravergine d'oliva; Pepe nero; 

Verdure grigliate|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Zucchine; Melanzane; Peperoni; Pomodori; Sale fino; Pepe nero; 

Carciofi trifolati|Facile|Basso|Senza lattosio; Vegetariano; |Carciofi; Aglio; Olio extravergine d'oliva; Prezzemolo; Brodo vegetale; Sale fino; Pepe nero; 

Insalata di cavolo e carote (coleslaw)|Facile||Vegetariano; |Cavolo cappuccio; Carote; Cipollotto fresco; Yogurt magro; Aceto di vino bianco; Senape; Zucchero; Erba cipollina; Sale fino; Pepe nero; Maionese; 

Peperoni al forno coi capperi|Molto facile|Molto basso|Senza lattosio; Vegetariano; |Peperoni; Peperoni gialli; Capperi sott'aceto; Olio extravergine d'oliva; Pangrattato; Aglio; Basilico; Sale fino; 

Patate hasselback|Molto facile|Molto basso|Senza glutine; Vegetariano; Senza lattosio; |Patate; Grana Padano DOP; Rosmarino; Timo; Origano; Olio extravergine d'oliva; Aglio; Sale fino; Pepe nero; 

Teglia di patate arrosto|Facile|Basso|Senza glutine; Vegetariano; |Patate; Peperoncino fresco; Timo; Sale fino; Olio extravergine d'oliva; Burro; Scalogno; 

Patate 'mpacchiuse|Facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Cipolle rosse di Tropea; Olio extravergine d'oliva; Sale fino; 

Spadellata di scorze di fave|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Fave; Olio extravergine d'oliva; Aglio; Peperoncino fresco; Sale fino; Pepe nero; 

Verza e patate|Molto facile|Molto basso|Senza glutine; Vegetariano; |Verza; Patate; Porri; Scamorza (provola); Acqua; Salvia; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Carote al latte|Molto facile|Molto basso|Vegetariano; |Carote; Latte intero; Sale fino; Acqua; Burro; Farina 00; Noce moscata; 

Zucca al forno|Facile|Basso|Senza lattosio; Vegetariano; |Zucca mantovana; Mandorle in scaglie; Semi di zucca; Olio extravergine d'oliva; Rosmarino; Paprika affumicata; Sale fino; Pepe nero; Olio extravergine d'oliva; Salvia; Prezzemolo; 

Fagioli all'uccelletto|Molto facile|Molto basso||Fagioli cannellini secchi; Pomodori pelati; Salsiccia; Aglio; Salvia; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Finocchi in padella|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Finocchi; Olio extravergine d'oliva; Timo; Aglio; Pepe nero; 

Carciofi e patate|Facile|Basso|Senza lattosio; Vegetariano; |Carciofi; Patate; Olio extravergine d'oliva; Sale fino; Pepe nero; Pangrattato; Prezzemolo; Limoni; Menta; 

Patatine novelle al rosmarino|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate novelle; Aglio; Sale fino; Rosmarino; Olio extravergine d'oliva; 

Insalata di puntarelle alla romana|Facile|||Catalogna; Acciughe (alici); Olio extravergine d'oliva; Aceto di vino bianco; Aglio; Sale fino; Pepe nero; 

Patate e peperoni|Molto facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Olio extravergine d'oliva; Peperoni gialli; Peperoni rossi; 

Insalata con avocado|Facile||Senza glutine; Senza lattosio; Vegetariano; |Rucola; Avocado; Pomodorini datterini; Semi di zucca; Olive taggiasche; Succo di limone; Peperoncino fresco; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Patate sabbiose|Molto facile|Molto basso|Senza lattosio; Vegetariano; |Patate; Aglio; Rosmarino; Pane; Pangrattato; Salvia; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Lenticchie saporite agli aromi|Facile|Basso|Senza lattosio; |Lenticchie secche; Cipolle; Alloro; Chiodi di garofano; Ginepro; Pancetta affumicata; Brodo vegetale; Vino rosso; Pepe nero; Olio extravergine d'oliva; Sale fino; 

Come cucinare il Topinambur|Facile|Molto basso|Senza lattosio; Vegetariano; |Topinambur; Prezzemolo; Aglio; Brodo vegetale; Olio extravergine d'oliva; Sale fino; Pepe nero; Limoni; 

Patate alla birra|Molto facile|Basso|Vegetariano; |Patate; Birra rossa; Burro; Rosmarino; Sale fino; Pepe nero; 

Friggitelli in padella|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Peperoni friggitelli; Aglio; Olio extravergine d'oliva; Acqua; Sale fino; 

Insalata di ceci gamberi e rucola|Molto facile|Basso|Senza lattosio; Light; |Gamberi; Ceci precotti; Rucola; Pinoli; Aglio; Paprika; Succo di limone; Aceto balsamico; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Patate al cartoccio bavaresi|Molto facile|Basso|Vegetariano; |Panna acida; Pepe nero; Patate; Erba cipollina; Sale fino; 

Carciofi sott'olio|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Carciofi; Olio extravergine d'oliva; Limoni; 

Piattoni al pomodoro|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Fagiolini piattoni; Pomodori ramati; Cipolle rosse; Passata di pomodoro; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Insalata di rucola, pere, grana e noci|Molto facile||Senza glutine; Vegetariano; Senza lattosio; |Rucola; Pere Williams; Grana Padano DOP; Gherigli di noci; Olio extravergine d'oliva; Sale fino; Aceto balsamico; 

Insalata con gamberi nell'ananas|Facile|Medio|Senza glutine; Senza lattosio; Light; |Ananas; Gamberi; Pomodorini ciliegino; Peperoncino; Erba cipollina; Menta; Olio extravergine d'oliva; Aglio; Sale fino; Insalata; 

Fagiolini alla pugliese|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Fagiolini; Aglio; Olio extravergine d'oliva; Peperoncino fresco; Sale fino; Prezzemolo; Pomodori pelati; 

Rosti light|Media|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Olio extravergine d'oliva; Sale; Pepe nero; Rosmarino; 

Zucca saltata al rosmarino e vino bianco|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Zucca; Rosmarino; Vino bianco; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Riso pilaf|Molto facile|Basso|Vegetariano; |Riso Basmati; Cannella in stecche; Brodo; Burro; Cipolle; Chiodi di garofano; 

Insalata di patate al verde|Molto facile|Basso|Senza glutine; Senza lattosio; |Patate; Basilico; Prezzemolo; Capperi sott'aceto; Acciughe (alici); Olio extravergine d'oliva; Aceto di vino bianco; Pepe nero; Origano; 

Cavoletti di Bruxelles in padella|Molto facile|Basso|Senza lattosio; |Cavoletti di Bruxelles; Scalogno; Speck; Brodo vegetale; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Insalata di fagioli alla romana|Molto facile||Senza lattosio; |Fagioli borlotti precotti; Fagioli cannellini precotti; Acciughe (alici); Timo; Aglio; Cipolle rosse di Tropea; Aceto di vino rosso; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Piselli stufati con pancetta|Molto facile|Basso|Senza lattosio; |Pisellini; Pancetta affumicata; Acqua; Olio extravergine d'oliva; Scalogno; Sale fino; 

Insalata di arance|Molto facile||Senza glutine; Senza lattosio; Vegetariano; |Arance; Cipolle rosse; Olive nere; Basilico; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Patate fritte|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Sale fino; Olio di semi di arachide; 

Broccoli affogati|Facile|Molto basso|Senza glutine; |Broccoli; Cipolle; Olio extravergine d'oliva; Acciughe sott'olio; Prezzemolo; Pecorino; Vino rosso; Sale fino; Pepe nero; Aglio; 

Fave alla menta|Facile|Basso|Senza lattosio; |Fave; Pancetta affumicata; Cipolle; Menta; Prezzemolo; Olio extravergine d'oliva; Sale fino; Pepe nero; Brodo vegetale; Vino bianco; 

Melanzane in agrodolce|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Melanzane; Aceto di vino bianco; Zucchero; Olio extravergine d'oliva; Aglio; Menta; Basilico; Sale fino; Pepe nero; 

Sformato di patate|Media|Basso||Patate; Pisellini; Pancetta affumicata; Uova; Erba cipollina; Sale fino; Pepe nero; Parmigiano Reggiano DOP; Burro; Latte intero; Brodo vegetale; 

Insalata di fagiolini, carote, mais e tonno|Molto facile||Senza glutine; Senza lattosio; Light; |Fagiolini; Tonno sott'olio; Carote; Mais; Erba cipollina; Sale fino; 

Patate alla savoiarda|Molto facile|Basso|Senza glutine; Vegetariano; |Patate; Fontina; Burro; Latte intero; Sale fino; 

Crema di fagioli ( frijoles refritos)|Molto facile|Basso|Senza glutine; Vegetariano; |Fagioli neri secchi; Cipolle; Burro; Sale fino; Cumino; Coriandolo; Pepe nero; Aglio; 

Scarola affogata|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Scarola (indivia); Olive nere; Capperi sotto sale; Aglio; Peperoncino fresco; Olio extravergine d'oliva; Sale fino; 

Barba di frate alle acciughe|Molto facile|Basso|Senza glutine; Senza lattosio; |Barba di frate (agretti); Aglio; Acciughe (alici); Sale fino; Olio extravergine d'oliva; 

Carciofi fritti alla senape|Facile|Basso|Senza lattosio; Vegetariano; |Carciofi; Uova; Farina 00; Senape; Lievito istantaneo per preparazioni salate; Sale fino; Olio di semi di arachide; 

Pura di cavolfiore|Molto facile|Molto basso|Senza glutine; Vegetariano; Senza lattosio; |Cavolfiore; Patate; Grana Padano DOP; Aglio; Sale grosso; Sale fino; Olio extravergine d'oliva; Noce moscata; Pepe nero; Acqua; 

Spinaci alla romana|Facile|Basso|Senza glutine; Vegetariano; |Spinaci; Burro; Pinoli; Uva passa; 

Insalata di fagiolini|Facile|Basso|Vegetariano; |Fagiolini; Pomodorini; Scalogno; Olio di semi; Zucchero integrale di canna; Acqua; Mandorle in scaglie; Feta; Senape; Succo di limone; Olio di semi; Sale fino; Pepe nero; 

Cipolle di Tropea al forno|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Cipolle rosse di Tropea; Rosmarino; Salvia; Timo; Sale grosso; Pepe nero; Olio extravergine d'oliva; 

Fagiolini sabbiosi con pomodorini|Molto facile|Molto basso|Vegetariano; |Fagiolini; Pomodori di Pachino; Pane bianco in cassetta; Parmigiano Reggiano DOP; Origano; Olio extravergine d'oliva; Sale fino; 

Peperoni in agrodolce|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Peperoni rossi; Peperoni gialli; Zucchero; Sale fino; Aceto di mele; 

Fagiolini all'aglio e mollica croccante|Facile|Basso|Senza lattosio; Vegetariano; |Fagiolini; Aglio; Pane raffermo; Prezzemolo; Olio extravergine d'oliva; Sale fino; 

Indivia belga gratinata|Molto facile|Molto basso|Vegetariano; Senza lattosio; Light; |Indivia belga; Pane raffermo; Parmigiano Reggiano DOP; Origano; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Germogli di soia saltati|Molto facile|Basso|Senza lattosio; Vegetariano; |Germogli di soia; Zenzero fresco; Peperoncino fresco; Olio di semi; Salsa di soia; Acqua; 

Zucchine in agrodolce|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Zucchine; Aceto di vino bianco; Olio extravergine d'oliva; Zucchero; Basilico; Bacche di ginepro; Alloro; Pepe nero in grani; 

Spicchi di patate al forno con pancetta|Facile|Basso|Senza lattosio; |Patate; Rosmarino; Sale fino; Pancetta affumicata; Brodo vegetale; Timo; Olio extravergine d'oliva; 

Zucca gratinata|Molto facile|Molto basso|Vegetariano; Senza lattosio; |Zucca; Aglio; Rosmarino; Olio extravergine d'oliva; Sale fino; Pepe nero; Pane raffermo; Grana Padano DOP; Salvia; Olio extravergine d'oliva; 

Insalata di broccoli,cavolfiori e indivia belga|Facile|Basso|Senza lattosio; Vegetariano; |Cavolfiore; Broccoli; Indivia belga; Pinoli; Uvetta; Olio extravergine d'oliva; Senape; Noce moscata; Sale fino; Pepe nero; Prezzemolo; Succo di limone; 

Insalata di borlotti freschi|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Fagioli borlotti; Pomodorini ciliegino; Basilico; Scalogno; Sale fino; Pepe nero; Olio extravergine d'oliva; Timo; 

Funghi porcini trifolati|Facile|Elevato|Senza glutine; Senza lattosio; Vegetariano; |Funghi porcini; Olio extravergine d'oliva; Prezzemolo; Aglio; Sale fino; Pepe nero; 

Insalata nizzarda|Molto facile|Basso|Senza glutine; Senza lattosio; |Uova; Lattuga; Pomodorini ciliegino; Tonno sott'olio; Olive nere; Cipollotto fresco; Acciughe sott'olio; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Insalata Waldorf|Media|Medio|Vegetariano; Senza glutine; |Sedano rapa; Mele Granny Smith; Yogurt greco; Succo di limone; Gherigli di noci; Miele di acacia; Maionese; Pepe bianco; Sale fino; 

Cicoria in padella|Molto facile|Molto basso|Senza glutine; Vegetariano; |Cicoria; Aglio; Peperoncino fresco; Olio extravergine d'oliva; Sale fino; 

Melanzane e cipolle al forno|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Melanzane; Cipolle bianche; Mentuccia; Prezzemolo; Origano; Basilico; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Peperoncino in polvere; 

Barchette di patate con cheddar e pancetta|Facile|Medio||Patate; Pancetta affumicata; Prezzemolo; Cheddar; Burro; Sale fino; Pepe nero; 

Insalata croccante|Facile|Basso||Insalata; Parmigiano Reggiano DOP; Carote; Pancarra; Prezzemolo; Acciughe (alici); Aceto di vino bianco; Sale fino; Pepe nero; Olio di oliva; 

Insalata di lenticchie pomodori e cipollotti|Molto facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Lenticchie secche; Pomodorini ciliegino; Cipollotto fresco; Basilico; Erba cipollina; Peperoncino; Olio extravergine d'oliva; Pepe bianco; Sale fino; 

Nidi di patate con lenticchie e cotechino|Facile|Basso||Patate; Burro; Tuorli; Sale fino; Noce moscata; Grana Padano DOP; Lenticchie secche; Scalogno; Carote; Sedano; Olio extravergine d'oliva; Rosmarino; Alloro; Brodo vegetale; Cotechino; Carote; Sedano; 

Jacket potatoes|Molto facile|Molto basso||Patate; Pancetta; Cheddar; 

Cardi in umido|Facile|Basso|Senza lattosio; |Cardi; Cipollotto fresco; Timo; Olio extravergine d'oliva; Pancetta affumicata; Vino bianco secco; Cannella in polvere; Parmigiano Reggiano DOP; Limoni; Sale fino; Pepe nero; Passata di pomodoro; 

Insalata pantesca|Molto facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Pomodori di Pachino; Capperi sotto sale; Olive verdi; Cipolle rosse; Aceto di vino bianco; Olio extravergine d'oliva; Origano; Basilico; Sale fino; Pepe nero; 

Insalata di patate e cetrioli|Facile|Basso|Vegetariano; |Cetrioli; Cipolle rosse; Pomodorini ciliegino; Feta; Olive nere; Patate; Olio extravergine d'oliva; Acqua; Succo di limone; Aglio; Miele; Senape; Origano; Sale fino; Pepe nero; 

Pura di patate cremoso|Facile|Basso|Vegetariano; |Patate; Panna fresca liquida; Panna acida; Noce moscata; Sale fino; Olio extravergine d'oliva; 

Patate e peperoni cruschi|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Peperoni cruschi; Olio extravergine d'oliva; Sale fino; 

Crauti alla Tirolese|Facile|Basso||Crauti precotti; Pancetta affumicata; Cipolle; Olio extravergine d'oliva; Burro; Bacche di ginepro; Farina 00; Dadi; Sale fino; Acqua; 

Spinaci sfiziosi|Facile|Basso|Vegetariano; |Spinaci; Cipollotto fresco; Olio extravergine d'oliva; Sale fino; Burro; Farina; Latte; Noce moscata; Sale fino; 

Cardi gratinati|Facile|Basso|Vegetariano; |Cardi; Grana Padano DOP; Burro; Pangrattato; Sale fino; Succo di limone; Latte intero; Burro; Farina 00; Noce moscata; Pepe nero; Sale fino; 

